movie,task,segment_coarse.rt,segment_fine.rt,order,sub
2.4.1,segment,,"[-0.7798055769999337, 8.748175384000206, 81.24420298299992, 200.964184896, 242.21224800900018, 318.8522647890004, 335.7882498600002, 370.7882275810007, 422.9562686090003, 541.9722595250005, 587.0122635460002]",coarse_fine,e152030
1.2.3,segment,,"[80.84553265999966, 152.74155040099959, 225.54953798499992, 270.10155695699996, 338.09354066299966, 434.8215656459997, 580.5335960259999]",fine_coarse,e152031
6.3.9,segment,,"[286.5496198360006, 423.95772775600017, 526.2856260380004, 629.0536588710002, 671.9096801240003]",fine_coarse,e152031
3.1.3,segment,,"[168.62063444400064, 336.4046387160006, 415.3006709500005, 456.156654077, 566.7726797230007, 585.9566894290001]",fine_coarse,e152031
2.4.1,segment,,"[9.959662027000377, 349.1276228679999, 399.6557850099998, 580.9596468959999, 627.0236614989999]",fine_coarse,e152031
1.2.3,segment,"[81.95238858199991, 154.3284285059999, 580.5124533219996]",,fine_coarse,e152031
6.3.9,segment,"[279.3703881830006, 526.3223881969998, 669.2584112569994, 669.3864081189995]",,fine_coarse,e152031
3.1.3,segment,"[20.37627292199977, 389.4083201230005, 574.0483460830001]",,fine_coarse,e152031
2.4.1,segment,"[329.5745158789996, 404.1025570139991, 626.5665933729997]",,fine_coarse,e152031
1.2.3,segment,"[91.25884847500038, 283.28287402000024]",,coarse_fine,e152032
6.3.9,segment,"[211.47924550300013, 232.7352575039995, 259.2712693549993, 289.7512603790001, 374.2792761319997, 464.3112769239997, 656.623303798]",,coarse_fine,e152032
3.1.3,segment,,,coarse_fine,e152032
2.4.1,segment,"[115.12768497099933, 588.4957688600007]",,coarse_fine,e152032
1.2.3,segment,,"[58.3061116480003, 92.35413144000086, 152.4501468310009, 285.37814301400067]",coarse_fine,e152032
6.3.9,segment,,"[211.7294244120003, 418.31345071299984, 630.1615485950006, 669.0334639079992]",coarse_fine,e152032
3.1.3,segment,,[71.62118719600039],coarse_fine,e152032
2.4.1,segment,,"[290.8532688640007, 357.70928406700114, 587.6932852999998]",coarse_fine,e152032
1.2.3,segment,,"[81.66089825200015, 152.02088871700016, 269.92489311500003, 347.0769100309999, 442.1329113349998, 580.2929396949999]",fine_coarse,e152033
6.3.9,segment,,"[281.29256482599976, 416.71661078000034, 526.316601175, 634.0845978389998, 670.6446115899998]",fine_coarse,e152033
3.1.3,segment,,"[170.13001238000015, 341.250022874, 413.56202778700026, 459.66606790400056, 568.3060710899999]",fine_coarse,e152033
2.4.1,segment,,"[223.154534282, 332.0185526089999, 401.43457777099957, 531.9785962149999, 577.7465969409996]",fine_coarse,e152033
1.2.3,segment,"[81.63483939999969, 151.89085279600022, 580.7949536850001]",,fine_coarse,e152033
6.3.9,segment,"[280.3390522999998, 437.27505091199964, 671.3391180629997]",,fine_coarse,e152033
3.1.3,segment,"[418.9792473949992, 582.475277863]",,fine_coarse,e152033
2.4.1,segment,"[332.1366235080004, 634.8246563829998]",,fine_coarse,e152033
1.2.3,segment,"[6.3402899140000955, 57.94829933599999, 81.23629429900006, 152.572280912, 237.47632089199988, 278.388325873, 448.97236048699983, 582.220349985]",,coarse_fine,e152034
6.3.9,segment,"[282.8224923839998, 439.71053153799994, 526.4545342740003, 670.3585631330002]",,coarse_fine,e152034
3.1.3,segment,"[83.01746748400001, 172.52943969000034, 336.42543867600034, 415.1454642990002, 580.393490597]",,coarse_fine,e152034
2.4.1,segment,"[240.44714218499985, 333.50316583899985, 402.19918724900026, 535.1191803350002, 633.6952724189996, 645.2152174370003]",,coarse_fine,e152034
